,accuracy,f1_score,precision,recall,fold
0,0.5694227769110765,0.448724887771021,0.45065673594685723,0.5694227769110765,1.0
1,0.5764430577223089,0.46652451258940353,0.46083645996797157,0.5764430577223089,2.0
2,0.5663026521060842,0.4384086326908226,0.4678221381256454,0.5663026521060842,3.0
3,0.5659640905542545,0.4524842099218536,0.4312578314553561,0.5659640905542545,4.0
4,0.5917252146760343,0.48326569188008056,0.4866625169530695,0.5917252146760343,5.0
mean,0.5739715583939515,0.45788158697063625,0.45944713648978,0.5739715583939515,3.0
std,0.009642859515177333,0.015564226372858321,0.018355685037166083,0.009642859515177333,1.4142135623730951
