,accuracy,f1_score,precision,recall,fold
0,0.5530421216848674,0.41363198096284043,0.42425868312232257,0.5530421216848674,1.0
1,0.546801872074883,0.40756079729048084,0.4510185342467618,0.546801872074883,2.0
2,0.5530421216848674,0.41714490357891804,0.4626961672494341,0.5530421216848674,3.0
3,0.5519125683060109,0.4070157335095559,0.42114334232158024,0.5519125683060109,4.0
4,0.546448087431694,0.40064419555117603,0.44671847020106986,0.546448087431694,5.0
mean,0.5502493542364646,0.40919952217859423,0.44116703942823376,0.5502493542364646,3.0
std,0.002989988082194573,0.005717057676504692,0.01598883758947666,0.002989988082194573,1.4142135623730951
