,accuracy,f1_score,precision,recall,fold
0,0.5424465240641712,0.513091935390772,0.5272568940788208,0.5424465240641712,1.0
1,0.5374331550802139,0.5139282484384128,0.5230355805130716,0.5374331550802139,2.0
2,0.5411096256684492,0.49704268269783325,0.5216577146827932,0.5411096256684492,3.0
3,0.5454545454545454,0.5146614777228997,0.5308144518507246,0.5454545454545454,4.0
4,0.5120320855614974,0.5132155029920294,0.5177803195983794,0.5120320855614974,5.0
mean,0.5356951871657755,0.5103879694483895,0.5241089921447579,0.5356951871657755,3.0
std,0.012108713213462973,0.006696260217644675,0.004518529547998556,0.012108713213462973,1.4142135623730951
