,accuracy,f1_score,precision,recall,fold
0,0.5581487341772152,0.5554051282861183,0.562107459965574,0.5581487341772152,1.0
1,0.5617088607594937,0.5576665855406461,0.5608705614867542,0.5617088607594937,2.0
2,0.5466772151898734,0.5451872648917916,0.5477778266777423,0.5466772151898734,3.0
3,0.5593354430379747,0.5583122429072196,0.5589056426791132,0.5593354430379747,4.0
4,0.5723892405063291,0.5724022885195157,0.5724456085489613,0.5723892405063291,5.0
mean,0.5596518987341772,0.5577947020290582,0.5604214198716291,0.5596518987341772,3.0
std,0.008211857635906658,0.008698544468064118,0.007871259137987545,0.008211857635906658,1.4142135623730951
