,precision,precision,recall,recall,f1-score,f1-score
,mean,std,mean,std,mean,std
class,,,,,,
0,0.6131,0.0197,0.5498,0.0796,0.5761,0.0365
1,0.5832,0.0216,0.641,0.0776,0.6081,0.0288
macro avg,0.5982,0.008,0.5954,0.0069,0.5921,0.0087
weighted avg,0.5985,0.0077,0.5947,0.0083,0.5919,0.0093
