,accuracy,f1_score,precision,recall,fold
0,0.594685628742515,0.5945535343594138,0.5945815757350152,0.594685628742515,1.0
1,0.6044161676646707,0.5983634551772159,0.6100738941073897,0.6044161676646707,2.0
2,0.5886976047904192,0.588570569685304,0.5902651786750807,0.5886976047904192,3.0
3,0.6010479041916168,0.6005825746225035,0.6019434219188956,0.6010479041916168,4.0
4,0.5845808383233533,0.577429787352686,0.5956340839143467,0.5845808383233533,5.0
mean,0.594685628742515,0.5918999842394247,0.5984996308701456,0.594685628742515,3.0
std,0.007390874872055201,0.008302731596016716,0.0068875537692723605,0.007390874872055201,1.4142135623730951
