,accuracy,f1_score,precision,recall,fold
0,0.539308176100629,0.5339808738796415,0.5411917098445596,0.539308176100629,1.0
1,0.5483490566037735,0.5384155114831136,0.557431488816728,0.5483490566037735,2.0
2,0.5318396226415094,0.5311528477633983,0.5324238196901278,0.5318396226415094,3.0
3,0.5373427672955975,0.5371809689085523,0.5379050556571533,0.5373427672955975,4.0
4,0.5172955974842768,0.5155797159793328,0.5169173824792795,0.5172955974842768,5.0
mean,0.5348270440251573,0.5312619836028077,0.5371738912975697,0.5348270440251573,3.0
std,0.010252126967285755,0.0082406934291615,0.013114397082799973,0.010252126967285755,1.4142135623730951
