,accuracy,f1_score,precision,recall,fold
0,0.6309659090909091,0.6361281527793659,0.6457029245670413,0.6309659090909091,1.0
1,0.6678977272727272,0.6690250997995671,0.6703317993510256,0.6678977272727272,2.0
2,0.6610795454545455,0.6570630505574584,0.654562094398362,0.6610795454545455,3.0
3,0.6465909090909091,0.6498596386365167,0.654697804479909,0.6465909090909091,4.0
4,0.6539772727272727,0.6561614209692326,0.6590090439584926,0.6539772727272727,5.0
mean,0.6521022727272727,0.6536474725484283,0.6568607333509661,0.6521022727272727,3.0
std,0.012733612463226454,0.010730627014187866,0.008006791577638093,0.012733612463226454,1.4142135623730951
