,accuracy,f1_score,precision,recall,fold
0,0.5113256591162273,0.481668583897716,0.5159991840992102,0.5113256591162273,1.0
1,0.5168956554028964,0.515050105081107,0.5176950400649502,0.5168956554028964,2.0
2,0.5384329743780171,0.5379229671824586,0.5385385161324898,0.5384329743780171,3.0
3,0.5302636464909023,0.5299428367121336,0.5304454785164965,0.5302636464909023,4.0
4,0.519494987003342,0.5167626578090114,0.5197994621292045,0.519494987003342,5.0
mean,0.523282584478277,0.5162694301364853,0.5244955361884702,0.523282584478277,3.0
std,0.009760905313524661,0.019260250785235866,0.008638228491256394,0.009760905313524661,1.4142135623730951
