,accuracy,f1_score,precision,recall,fold
0,0.613556338028169,0.613634206159358,0.6140924280610397,0.613556338028169,1.0
1,0.6192781690140845,0.6193036170770222,0.6193830472840764,0.6192781690140845,2.0
2,0.6126760563380281,0.6118208412956803,0.6132550195244949,0.6126760563380281,3.0
3,0.6258802816901409,0.6254657323829563,0.6261749367867959,0.6258802816901409,4.0
4,0.6245598591549296,0.6245199006190185,0.6244995431745296,0.6245598591549296,5.0
mean,0.6191901408450704,0.618948859506807,0.6194809949661872,0.6191901408450704,3.0
std,0.00543640762557908,0.005526050450605236,0.005249832386988913,0.00543640762557908,1.4142135623730951
