,accuracy,f1_score,precision,recall,fold
0,0.39699074074074076,0.3913984901092602,0.3904773173312759,0.39699074074074076,1.0
1,0.42824074074074076,0.403204477715407,0.40869968893037584,0.42824074074074076,2.0
2,0.41898148148148145,0.4051597387238569,0.40892464887483526,0.41898148148148145,3.0
3,0.3425925925925926,0.27745362519002126,0.3579820361803033,0.3425925925925926,4.0
4,0.4351851851851852,0.4109093366438304,0.43386636849221394,0.4351851851851852,5.0
mean,0.4043981481481482,0.37762513367647516,0.39999001196180084,0.4043981481481482,3.0
std,0.03347769664776096,0.05048629901988397,0.025133464265130065,0.03347769664776096,1.4142135623730951
