,accuracy,f1_score,precision,recall,fold
0,0.5507075471698113,0.4911838326180264,0.5895993169109937,0.5507075471698113,1.0
1,0.5518867924528302,0.5101610976859088,0.58516119188289,0.5518867924528302,2.0
2,0.5511006289308176,0.507855007332699,0.5942730961283703,0.5511006289308176,3.0
3,0.5605345911949685,0.5209272173538974,0.5927994639651514,0.5605345911949685,4.0
4,0.53812893081761,0.4771930050628444,0.5736773778208533,0.53812893081761,5.0
mean,0.5504716981132075,0.5014640320106752,0.5871020893416518,0.5504716981132075,3.0
std,0.007156247514292623,0.015427665729368175,0.007404181573014402,0.007156247514292623,1.4142135623730951
