,accuracy,f1_score,precision,recall,fold
0,0.5120683252877831,0.49775363118099886,0.5126916113805848,0.5120683252877831,1.0
1,0.5306349795766803,0.530789039023816,0.5316198550708551,0.5306349795766803,2.0
2,0.5358336427775715,0.5357582371435919,0.5358962729775422,0.5358336427775715,3.0
3,0.5417749721500186,0.5388854571193996,0.5435706622105015,0.5417749721500186,4.0
4,0.5332343111771258,0.5289280761094336,0.5339970202315992,0.5332343111771258,5.0
mean,0.5307092461938359,0.526422888115448,0.5315550843742166,0.5307092461938359,3.0
std,0.010025718250686206,0.01476299360881008,0.010247125339192985,0.010025718250686206,1.4142135623730951
