,precision,precision,recall,recall,f1-score,f1-score
,mean,std,mean,std,mean,std
class,,,,,,
0,0.7038,0.0265,0.7969,0.0664,0.7455,0.021
1,0.5899,0.0312,0.4593,0.1138,0.5082,0.0802
macro avg,0.6469,0.0196,0.6281,0.031,0.6269,0.0386
weighted avg,0.6599,0.0194,0.6668,0.0197,0.6541,0.0302
