,accuracy,f1_score,precision,recall,fold
0,0.6025528169014085,0.6025706065094698,0.6025998342029621,0.6025528169014085,1.0
1,0.6236795774647887,0.6234377845603456,0.6242185835706444,0.6236795774647887,2.0
2,0.6170774647887324,0.6162471284792723,0.617360844512789,0.6170774647887324,3.0
3,0.5990316901408451,0.5984293526062773,0.599671031336324,0.5990316901408451,4.0
4,0.6170774647887324,0.6169714977213823,0.6171420580592187,0.6170774647887324,5.0
mean,0.6118838028169014,0.6115312739753495,0.6121984703363876,0.6118838028169014,3.0
std,0.009437506527597233,0.009439853996912434,0.009430194403055253,0.009437506527597233,1.4142135623730951
