,accuracy,f1_score,precision,recall,fold
0,0.5370370370370371,0.5344088183668498,0.5384937539253078,0.5370370370370371,1.0
1,0.5231481481481481,0.4343609082847494,0.5569073595559383,0.5231481481481481,2.0
2,0.5740740740740741,0.5729291057518628,0.5742546456553574,0.5740740740740741,3.0
3,0.5995370370370371,0.5993181203745388,0.6009601701838866,0.5995370370370371,4.0
4,0.5150462962962963,0.49976716710769037,0.5171404503641125,0.5150462962962963,5.0
mean,0.5497685185185185,0.5281568239771383,0.5575512759369206,0.5497685185185185,3.0
std,0.03207501495497923,0.05781214607997479,0.0288443174878512,0.03207501495497923,1.4142135623730951
