,precision,precision,recall,recall,f1-score,f1-score
,mean,std,mean,std,mean,std
class,,,,,,
0,0.6142,0.0423,0.5804,0.0177,0.5963,0.0248
1,0.7295,0.0146,0.7551,0.0418,0.7418,0.027
macro avg,0.6718,0.0281,0.6677,0.0239,0.6691,0.0254
weighted avg,0.6834,0.0253,0.6852,0.0271,0.6837,0.0256
