,accuracy,f1_score,precision,recall,fold
0,0.5759493670886076,0.5715244769324359,0.5797158842322734,0.5759493670886076,1.0
1,0.615506329113924,0.6153871958230998,0.6168309276857772,0.615506329113924,2.0
2,0.6004746835443038,0.60038005509546,0.6003463123560634,0.6004746835443038,3.0
3,0.5949367088607594,0.5918784230538272,0.5984791193169694,0.5949367088607594,4.0
4,0.5771360759493671,0.5770818716453969,0.5771073282119279,0.5771360759493671,5.0
mean,0.5928006329113924,0.591250404510044,0.5944959143606022,0.5928006329113924,3.0
std,0.014888559488857889,0.015850483679224113,0.01462708527020776,0.014888559488857889,1.4142135623730951
