,accuracy,f1_score,precision,recall,fold
0,0.5344251336898396,0.5284980336126595,0.5261529858363235,0.5344251336898396,1.0
1,0.5524732620320856,0.5022381584949437,0.5187536732056,0.5524732620320856,2.0
2,0.5377673796791443,0.5377909870787555,0.5378147125355437,0.5377673796791443,3.0
3,0.5347593582887701,0.5369264621302382,0.5410271425178811,0.5347593582887701,4.0
4,0.5364304812834224,0.534581546272576,0.5332602256923599,0.5364304812834224,5.0
mean,0.5391711229946523,0.5280070375178345,0.5314017479575416,0.5391711229946523,3.0
std,0.006758943668323291,0.013287454030435537,0.008059175805844854,0.006758943668323291,1.4142135623730951
