,accuracy,f1_score,precision,recall,fold
0,0.551219512195122,0.5433591483398929,0.5627067069772426,0.551219512195122,1.0
1,0.5970731707317073,0.5956766771417039,0.6014443737480853,0.5970731707317073,2.0
2,0.5804878048780487,0.5784861773288339,0.5804889413165868,0.5804878048780487,3.0
3,0.5678048780487804,0.5673725697032149,0.5682669501006937,0.5678048780487804,4.0
4,0.5921951219512195,0.5919038327526133,0.5926287262872628,0.5921951219512195,5.0
mean,0.5777560975609757,0.5753596810532517,0.5811071396859743,0.5777560975609757,3.0
std,0.01668720527080997,0.01888963899140233,0.014492609211501611,0.01668720527080997,1.4142135623730951
