,accuracy,f1_score,precision,recall,fold
0,0.34716679968076614,0.32640853978237766,0.3463468569617528,0.34716679968076614,1.0
1,0.33599361532322425,0.32203659927602574,0.3318982087039298,0.33599361532322425,2.0
2,0.3280127693535515,0.3254663679157921,0.3279208732267787,0.3280127693535515,3.0
3,0.34317637669592976,0.3397730587904914,0.3451414647146515,0.34317637669592976,4.0
4,0.36153232242617717,0.3572708775032095,0.36193614906088534,0.36153232242617717,5.0
mean,0.3431763766959298,0.33419108865357927,0.3426487105335997,0.3431763766959298,3.0
std,0.01126402474980197,0.013025018041192668,0.01203642701702594,0.01126402474980197,1.4142135623730951
