,accuracy,f1_score,precision,recall,fold
0,0.7611336032388664,0.7611061908803829,0.7611786179246587,0.7611336032388664,1.0
1,0.7307692307692307,0.7301946030459058,0.7336958180708181,0.7307692307692307,2.0
2,0.7176113360323887,0.7151588084142002,0.7274958046813919,0.7176113360323887,3.0
3,0.7580971659919028,0.7580503266620963,0.759137041761411,0.7580971659919028,4.0
4,0.7348178137651822,0.7322162051537869,0.73951291520186,0.7348178137651822,5.0
mean,0.7404858299595141,0.7393452268312745,0.7442040395280279,0.7404858299595141,3.0
std,0.016650951192452444,0.017566786943620794,0.013584736617051209,0.016650951192452444,1.4142135623730951
