,accuracy,f1_score,precision,recall,fold
0,0.48978834014110656,0.3266016523351964,0.3688640744741309,0.48978834014110656,1.0
1,0.5432603044931303,0.5425180320206232,0.5434629574596019,0.5432603044931303,2.0
2,0.5150389899740067,0.48210983982564176,0.5218764372445818,0.5150389899740067,3.0
3,0.5358336427775715,0.5347836759582459,0.5373472579579612,0.5358336427775715,4.0
4,0.5235796509468994,0.5204012319395572,0.5234536520473972,0.5235796509468994,5.0
mean,0.5215001856665429,0.48128288641585293,0.49900087583673464,0.5215001856665429,3.0
std,0.018604639939324253,0.08008656631928426,0.0655806958899467,0.018604639939324253,1.4142135623730951
