,accuracy,f1_score,precision,recall,fold
0,0.5428889714073524,0.5414151097638848,0.5442426200532109,0.5428889714073524,1.0
1,0.5380616412922391,0.5340891277719733,0.5409311839425334,0.5380616412922391,2.0
2,0.5573709617526922,0.5556867148763729,0.5600799036842286,0.5573709617526922,3.0
3,0.558113627924248,0.5555076820758852,0.5587437552659372,0.558113627924248,4.0
4,0.5536576308949127,0.5528777848570641,0.5535672698357099,0.5536576308949127,5.0
mean,0.5500185666542888,0.5479152838690361,0.551512946556324,0.5500185666542888,3.0
std,0.008082446556502225,0.008672726472188159,0.007677616044568602,0.008082446556502225,1.4142135623730951
