,accuracy,f1_score,precision,recall,fold
0,0.6487299465240641,0.6486940157215163,0.6486582276699628,0.6487299465240641,1.0
1,0.6463903743315508,0.6505891455687818,0.657713618652487,0.6463903743315508,2.0
2,0.6584224598930482,0.6598689753929006,0.6615960631061435,0.6584224598930482,3.0
3,0.6420454545454546,0.6482669804749125,0.6634577768149735,0.6420454545454546,4.0
4,0.6373663101604278,0.6433229785453317,0.6565631725224315,0.6373663101604278,5.0
mean,0.6465909090909091,0.6501484191406885,0.6575977717531997,0.6465909090909091,3.0
std,0.007076095988138896,0.005420796873456157,0.005124944049559096,0.007076095988138896,1.4142135623730951
