,accuracy,f1_score,precision,recall,fold
0,0.4850187265917603,0.501954100819436,0.6064150374684065,0.4850187265917603,1.0
1,0.3651685393258427,0.5149479670153192,0.952664828181038,0.3651685393258427,2.0
2,0.8014981273408239,0.7248475787801631,0.6615781506513442,0.8014981273408239,3.0
3,0.38764044943820225,0.21657644543510896,0.15026511804065143,0.38764044943820225,4.0
4,0.6479400749063671,0.6757044770098392,0.7111304397422005,0.6479400749063671,5.0
5,0.013108614232209739,0.003988389488151297,0.9888905284904189,0.013108614232209739,6.0
6,0.49250936329588013,0.3295609909135455,0.41247169851245263,0.49250936329588013,7.0
7,0.6647940074906367,0.6691919463528857,0.6743201790645507,0.6647940074906367,8.0
8,0.5543071161048689,0.5571394353151614,0.5601861138902298,0.5543071161048689,9.0
9,0.22846441947565543,0.18733572516646094,0.7443696116231735,0.22846441947565543,10.0
10,0.49250936329588013,0.49355606776631544,0.495374614748642,0.49250936329588013,11.0
11,0.898876404494382,0.8510072468585865,0.8079787905567478,0.898876404494382,12.0
mean,0.5026529338327091,0.4771508642434144,0.6471370925808213,0.5026529338327091,6.5
std,0.23163320248653915,0.238693324181126,0.22073922208047325,0.23163320248653915,3.452052529534663
