,accuracy,f1_score,precision,recall,fold
0,0.47800925925925924,0.47716277075696817,0.4782680666901995,0.47800925925925924,1.0
1,0.5185185185185185,0.3549006323396568,0.26977382944937983,0.5185185185185185,2.0
2,0.5034722222222222,0.5020668549716283,0.5050680906891762,0.5034722222222222,3.0
3,0.47685185185185186,0.31669289128656847,0.46009854884123885,0.47685185185185186,4.0
4,0.4849537037037037,0.4597112478277986,0.4912220349315471,0.4849537037037037,5.0
mean,0.4923611111111111,0.4221068794365241,0.4408861141203083,0.4923611111111111,3.0
std,0.016180538997501187,0.07275661609131345,0.08683199068471308,0.016180538997501187,1.4142135623730951
