,accuracy,f1_score,precision,recall,fold
0,0.575,0.5463384669387039,0.5570247933884298,0.575,1.0
1,0.5704545454545454,0.5552485635372784,0.5569040625596033,0.5704545454545454,2.0
2,0.5579545454545455,0.5368818129945815,0.5399622368632493,0.5579545454545455,3.0
3,0.5613636363636364,0.5440156437912652,0.5457737327253335,0.5613636363636364,4.0
4,0.559375,0.5398305237091533,0.5423750698639085,0.559375,5.0
mean,0.5648295454545454,0.5444630021941964,0.5484079790801049,0.5648295454545454,3.0
std,0.00669490832802518,0.006308408953590324,0.007226323164332335,0.00669490832802518,1.4142135623730951
