,precision,precision,recall,recall,f1-score,f1-score
,mean,std,mean,std,mean,std
class,,,,,,
0,0.8939,0.0084,0.7989,0.1261,0.8384,0.0716
1,0.0897,0.0362,0.2003,0.1602,0.1171,0.0614
macro avg,0.4918,0.0204,0.4996,0.0255,0.4778,0.0158
weighted avg,0.8081,0.0099,0.735,0.0963,0.7614,0.0581
