,accuracy,f1_score,precision,recall,fold
0,0.35300925925925924,0.18950037908570144,0.19440866510538643,0.35300925925925924,1.0
1,0.4652777777777778,0.3719870232725592,0.6476109910626617,0.4652777777777778,2.0
2,0.48032407407407407,0.38989454686883596,0.32945785567313346,0.48032407407407407,3.0
3,0.3472222222222222,0.19277138354736714,0.24973843456622552,0.3472222222222222,4.0
4,0.4513888888888889,0.364623470837229,0.3074750093002604,0.4513888888888889,5.0
mean,0.41944444444444445,0.30175536072233855,0.3457381911415335,0.41944444444444445,3.0
std,0.057370993528882565,0.09069960309909784,0.15809673396540916,0.057370993528882565,1.4142135623730951
