,precision,precision,recall,recall,f1-score,f1-score
,mean,std,mean,std,mean,std
class,,,,,,
0,0.4095,0.247,0.367,0.2983,0.2716,0.1675
1,0.6001,0.2283,0.6312,0.3073,0.5273,0.2071
macro avg,0.5048,0.0233,0.4991,0.0217,0.3995,0.0938
weighted avg,0.6238,0.1165,0.4716,0.1313,0.4457,0.1553
