,accuracy,f1_score,precision,recall,fold
0,0.55548128342246,0.5550961058950977,0.5560044266477078,0.55548128342246,1.0
1,0.5518048128342246,0.5456944142760181,0.5538698810966648,0.5518048128342246,2.0
2,0.5377673796791443,0.5375804694048504,0.5381065663982458,0.5377673796791443,3.0
3,0.5314171122994652,0.5312319298237057,0.5313678920067241,0.5314171122994653,4.0
4,0.5518048128342246,0.5486890378430824,0.5523294231086038,0.5518048128342246,5.0
mean,0.5456550802139037,0.5436583914485509,0.5463356378515893,0.5456550802139037,3.0
std,0.009350168363803308,0.008386085961216677,0.00977677648745054,0.009350168363803275,1.4142135623730951
