,accuracy,f1_score,precision,recall,fold
0,0.593603744149766,0.671120375416671,0.8153047148995936,0.593603744149766,1.0
1,0.7082683307332294,0.7548004900491586,0.8218015180091329,0.7082683307332294,2.0
2,0.7730109204368175,0.7896582132904851,0.8081077345959211,0.7730109204368175,3.0
3,0.7978142076502732,0.8018482962700242,0.8059744165827237,0.7978142076502732,4.0
4,0.8157689305230289,0.8175006379902862,0.8192588572893393,0.8157689305230289,5.0
mean,0.737693226698623,0.766985602603325,0.8140894482753422,0.737693226698623,3.0
std,0.0807282984498268,0.052191651126826895,0.006153215744887232,0.0807282984498268,1.4142135623730951
