,accuracy,f1_score,precision,recall,fold
0,0.32683307332293293,0.3065340940279743,0.32264184260562406,0.32683307332293293,1.0
1,0.3361934477379095,0.32318387040055807,0.34098972889487666,0.3361934477379095,2.0
2,0.3377535101404056,0.3101639773348893,0.3410239302283572,0.3377535101404056,3.0
3,0.32786885245901637,0.3237376299059812,0.3274545948624516,0.32786885245901637,4.0
4,0.35362997658079626,0.3472491520042935,0.3556994114558058,0.35362997658079626,5.0
mean,0.3364557720482121,0.3221737447347393,0.3375619016094231,0.3364557720482121,3.0
std,0.009623281751206733,0.01429038367330774,0.011640195151620686,0.009623281751206733,1.4142135623730951
