,accuracy,f1_score,precision,recall,fold
0,0.3369734789391576,0.16986294387598141,0.11355112550835887,0.3369734789391576,1.0
1,0.3369734789391576,0.16986294387598141,0.11355112550835887,0.3369734789391576,2.0
2,0.3369734789391576,0.16986294387598141,0.11355112550835887,0.3369734789391576,3.0
3,0.3372365339578454,0.17009478420290627,0.11372847983590102,0.3372365339578454,4.0
4,0.3200624512099922,0.17749806300091708,0.19388393641369217,0.3200624512099922,5.0
mean,0.33364388439706205,0.1714363357663535,0.12965315855493395,0.33364388439706205,3.0
std,0.006791480806505983,0.0030321933904585803,0.03211546238603627,0.006791480806505983,1.4142135623730951
