,accuracy,f1_score,precision,recall,fold
0,0.5053977272727272,0.5074790991463715,0.5108968946620661,0.5053977272727272,1.0
1,0.5153409090909091,0.5155480133930855,0.5157632627385196,0.5153409090909091,2.0
2,0.5053977272727272,0.5080895663117496,0.5143778610574995,0.5053977272727272,3.0
3,0.546875,0.5484757378950369,0.5509649283904982,0.546875,4.0
4,0.5457386363636364,0.5478499332681322,0.5519469380980676,0.5457386363636364,5.0
mean,0.52375,0.5254884700028752,0.5287899769893303,0.52375,3.0
std,0.018775464801500847,0.018731372028875565,0.018577083099403893,0.018775464801500847,1.4142135623730951
