,accuracy,f1_score,precision,recall,fold
0,0.5374414976599063,0.41404357335665737,0.3485426093951942,0.5374414976599063,1.0
1,0.5351014040561622,0.40893256651030213,0.33777606494532225,0.5351014040561622,2.0
2,0.5795631825273011,0.49699457222577137,0.4405558273502174,0.5795631825273011,3.0
3,0.5745511319281811,0.49155074306935487,0.43637175887284696,0.5745511319281811,4.0
4,0.570647931303669,0.49817701934168784,0.4420425600362213,0.570647931303669,5.0
mean,0.559461029495044,0.4619396949007547,0.4010577641199604,0.559461029495044,3.0
std,0.019158317534751976,0.04128582420085966,0.04743278116838895,0.019158317534751976,1.4142135623730951
