,accuracy,f1_score,precision,recall,fold
0,0.7558502340093604,0.7564202839818855,0.7571477052630492,0.7558502340093604,1.0
1,0.748829953198128,0.7479176590390783,0.7473078212908945,0.748829953198128,2.0
2,0.7769110764430577,0.7767400347140777,0.776584479582028,0.7769110764430577,3.0
3,0.741608118657299,0.7434497280889577,0.74712261718055,0.741608118657299,4.0
4,0.7275565964090555,0.7311372820096944,0.7498339045334247,0.7275565964090555,5.0
mean,0.7501511957433801,0.7511329975667387,0.7555993055699892,0.7501511957433801,3.0
std,0.016332887186648017,0.015184699018781228,0.011105114827317786,0.016332887186648017,1.4142135623730951
