,accuracy,f1_score,precision,recall,fold
0,0.6692667706708268,0.6713302107128339,0.6752547295628984,0.6692667706708268,1.0
1,0.7012480499219969,0.6955781432516039,0.6963332891038507,0.7012480499219969,2.0
2,0.6840873634945398,0.6846297499069184,0.6852727679645052,0.6840873634945398,3.0
3,0.7166276346604216,0.7085597154860783,0.7128588864116168,0.7166276346604216,4.0
4,0.6791569086651054,0.6752754089653135,0.6743344510345686,0.6791569086651054,5.0
mean,0.690077345482578,0.6870746456645496,0.6888108248154878,0.690077345482578,3.0
std,0.01683994264596465,0.01361619939886379,0.01442738852408054,0.01683994264596465,1.4142135623730951
